Rank,Name,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,Total
30,Mark Appel,,,,,,,,,,,"$99,996",,,,,,,,,,,,,,,,,,,,,,"$99,996"
31,Jameson Taillon,,,,,"$302,257","$555,500","$571,000","$587,500","$833,333","$2,250,000","$5,800,000","$14,000,000","$18,000,000","$18,000,000","$18,000,000",,,,,,,,,,,,,,,,,,"$78,899,590"
32,José Berríos,,,,,"$205,202","$535,000","$570,000","$620,000","$1,490,741","$6,100,000","$15,000,000","$15,000,000","$17,000,000","$18,000,000","$18,000,000","$24,000,000","$24,000,000",,,,,,,,,,,,,,,,"$140,520,943"
33,Nick Gordon,,,,,,,,"$555,000","$208,705","$404,844","$924,731","$735,400","$900,000",,,,,,,,,,,,,,,,,,,,"$3,728,680"
34,Josh Bell,,,,,"$146,969","$549,000","$572,500","$587,000","$1,777,778","$6,350,000","$10,000,000","$16,500,000","$16,500,000","$6,000,000","$5,750,000","$1,250,000",,,,,,,,,,,,,,,,,"$65,983,247"
35,Eddie Butler,,,,"$250,573","$268,981","$535,000","$570,750",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,625,304"
36,Kohl Stewart,,,,,,,"$146,500","$125,328","$296,296","$402,641",,,,,,,,,,,,,,,,,,,,,,,"$970,765"
37,Aaron Nola,,,,"$207,991","$517,500","$544,000","$573,000","$6,000,000","$2,962,962","$11,750,000","$15,000,000","$16,000,000","$24,571,428","$24,571,428","$24,571,428","$24,571,428","$24,571,428","$24,571,428","$24,571,432",,,,,,,,,,,,,,"$225,555,453"
38,José Peraza,,,,"$110,928","$274,527","$540,000","$570,000","$2,775,000","$1,055,556","$510,015",,,,,,,,,,,,,,,,,,,,,,,"$5,836,026"
39,Braden Shipley,,,,,"$194,110","$102,305","$164,080",,,,,,,,,,,,,,,,,,,,,,,,,,"$460,495"
40,Adalberto Mondesi,,,,,"$191,337","$149,736","$310,580","$576,000","$223,889","$2,525,000","$3,000,000","$3,045,000",,,,,,,,,,,,,,,,,,,,,"$10,021,542"
41,Hunter Harvey,,,,,,,"$5,860","$131,296","$209,259","$574,000","$661,512","$870,000","$2,325,000","$3,700,000","$5,000,000",,,,,,,,,,,,,,,,,,"$13,476,927"
42,Michael A. Taylor,,,"$101,092","$478,122","$412,272","$551,869","$2,525,000","$1,860,215","$1,231,481","$2,000,000","$4,650,000","$4,600,000","$4,000,000","$2,250,000",,,,,,,,,,,,,,,,,,,"$24,660,051"
43,Dalton Pompey,,,"$73,770","$166,721","$85,963","$539,000","$26,370","$354,042",,,,,,,,,,,,,,,,,,,,,,,,,"$1,245,866"
44,Aaron Sanchez,,,"$188,524","$510,800","$492,420","$535,000","$2,700,000","$3,900,000",,"$4,000,000","$526,368",,,,,,,,,,,,,,,,,,,,,,"$12,853,112"
45,Jorge Alfaro,,,,,"$66,552","$172,457","$547,000","$570,000","$220,370","$2,050,000","$2,725,000","$158,711",,"$145,161",,,,,,,,,,,,,,,,,,,"$6,655,251"
46,Austin Meadows,,,,,,,"$210,960","$557,400","$214,407","$591,400","$4,000,000","$4,300,000",,,,,,,,,,,,,,,,,,,,,"$9,874,167"
47,Carl Edwards Jr.,,,,"$74,877","$293,938","$556,000","$594,000","$1,262,159","$351,852","$285,000","$569,208","$2,250,000","$15,912","$169,355","$37,436",,,,,,,,,,,,,,,,,,"$6,459,737"
48,Hunter Renfroe,,,,,"$33,276","$445,056","$553,800","$582,100","$1,222,222","$3,700,000","$7,650,000","$11,900,000","$5,570,000","$7,570,000",,,,,,,,,,,,,,,,,,,"$39,226,454"
49,Kyle Schwarber,,,,"$232,950","$522,000","$519,120","$604,500","$3,390,000","$2,596,296","$10,000,000","$19,000,000","$20,000,000","$20,000,000","$20,000,000","$30,000,000","$30,000,000","$30,000,000","$30,000,000","$30,000,000",,,,,,,,,,,,,,"$246,864,866"
50,D.J. Peterson,,,,,,"$344,914",,,,,,,,,,,,,,,,,,,,,,,,,,,"$344,914"
51,Austin Hedges,,,,"$424,303","$33,408","$537,100","$553,100","$2,060,000","$1,111,111","$3,280,000","$4,000,000","$5,000,000","$4,000,000","$4,000,000","$4,000,000",,,,,,,,,,,,,,,,,,"$28,999,022"
52,A.J. Cole,,,,"$124,795","$122,012","$166,611","$546,255","$555,000","$208,703","$795,648",,,,,,,,,,,,,,,,,,,,,,,"$2,519,024"
53,Clint Frazier,,,,,,"$535,000","$297,594","$320,968","$165,801","$2,100,000","$1,500,000","$166,453",,,,,,,,,,,,,,,,,,,,,"$5,085,816"
54,Nomar Mazara,,,,,"$507,500","$546,450","$563,560","$3,300,000","$2,059,259","$1,750,000","$307,680",,,,,,,,,,,,,,,,,,,,,,"$9,034,449"
55,Maikel Franco,,,,"$393,797","$517,500","$560,000","$2,950,000","$5,200,000","$1,482,593","$800,000","$1,250,000",,,,,,,,,,,,,,,,,,,,,,"$13,153,890"
56,Sean Manaea,,,,,"$435,361","$537,500","$550,000","$3,150,000","$1,388,889","$5,950,000","$9,750,000","$12,500,000","$14,500,000","$17,250,000","$17,250,000","$17,250,000",,,,,,,,,,,,,,,,,"$100,511,750"
57,Albert Almora Jr.,,,,,"$202,429","$552,000","$584,500","$562,530","$583,333","$1,250,000","$492,288",,,,,,,,,,,,,,,,,,,,,,"$4,227,080"
58,Kyle Zimmer,,,,,,,,"$185,008","$209,537","$588,700",,,,,,,,,,,,,,,,,,,,,,,"$983,245"
59,David Dahl,,,,,"$507,500","$316,872","$452,421","$560,000","$916,667","$2,700,000",,"$336,000","$255,376",,,,,,,,,,,,,,,,,,,,"$6,044,836"
60,Kyle Freeland,,,,,,"$535,000","$550,000","$434,434","$1,064,815","$5,025,000","$7,000,000","$10,500,000","$15,000,000","$16,000,000","$16,000,000",,,,,,,,,,,,,,,,,,"$72,109,249"
61,Justin O'Conner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
62,Trea Turner,,,,"$122,021","$249,570","$554,900","$577,200","$3,725,000","$2,759,259","$13,000,000","$21,000,000","$27,272,727","$27,272,727","$27,272,727","$27,272,727","$27,272,727","$27,272,727","$27,272,727","$27,272,727","$27,272,727","$27,272,727","$27,272,730",,,,,,,,,,,"$341,987,950"
63,Kevin Plawecki,,,,"$407,663","$310,134","$227,994","$557,471","$1,137,500","$433,333","$1,600,000","$2,303,844",,,,,,,,,,,,,,,,,,,,,,"$6,977,939"
64,Reese McGuire,,,,,,,"$73,250","$193,960","$138,512","$463,117","$722,358","$1,225,000","$1,500,000","$1,024,194","$1,200,000",,,,,,,,,,,,,,,,,,"$6,540,391"
65,Daniel Robertson,,,,,,"$280,608","$548,300","$367,920","$413,625","$900,000",,,,,,,,,,,,,,,,,,,,,,,"$2,510,453"
66,Steven Matz,,,,"$274,549","$515,750","$562,250","$577,000","$2,625,000","$1,888,889","$5,200,000","$10,000,000","$10,000,000","$12,000,000","$12,500,000","$7,500,000","$7,500,000",,,,,,,,,,,,,,,,,"$71,143,438"
67,Sean Newcomb,,,,,,"$535,000","$555,000","$513,106","$65,620","$409,956","$561,822","$150,969","$1,000,000","$1,000,000","$4,500,000",,,,,,,,,,,,,,,,,,"$9,291,473"
