Rank,Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Career
40,Lars Anderson,,,,,,"$480,000.00",,,,,,,,,,,,,,,,"$480,000.00"
41,Austin Jackson,,,,"$400,000.00","$440,000.00","$500,000.00","$3,500,000.00","$6,000,000.00","$7,699,999.00","$5,000,000.00","$1,500,000.00","$3,193,380.00","$3,000,000.00","$8,235,148.00","$1,230,016.00","$1,850,032.00","$7,064,480.00","$8,590,580.00","$11,115,000.00","$7,000,000.00",,"$76,318,635.00"
42,Jeff Clement,,,,,,"$480,000.00",,,,,,,,,,,,,,,,"$480,000.00"
43,Josh Vitters,"$3,200,000.00",,,,,"$480,000.00",,,,,,,,,,,,,,,,"$3,680,000.00"
44,Joey Votto,"$56,079.00","$390,000.00","$437,500.00","$525,000.00","$8,100,000.00","$11,050,000.00","$19,050,000.00","$12,000,000.00","$14,000,000.00","$20,000,000.00","$22,000,000.00","$25,075,000.00","$25,000,000.00","$9,259,259.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$22,500,000.00",,,,"$264,442,838.00"
45,Ian Kennedy,,,,,,,,,,,,,,,,,"$720,000.00",,,,,"$720,000.00"
46,Jarrod Parker,,,,,,,,,,"$850,000.00",,,,,,,,,,,,"$850,000.00"
47,Geovany Soto,"$380,000.00","$401,000.00","$575,000.00","$575,000.00","$3,000,000.00","$4,300,000.00","$2,750,000.00","$3,050,000.00","$1,500,000.00","$2,800,000.00","$2,000,000.00",,,,,,,,,,,"$21,331,000.00"
48,Daric Barton,,,,,,,,"$1,250,000.00",,,,,,,,,,,,,,"$1,250,000.00"
49,Jair Jurrjens,,,,,,,"$49,176.00","$13,387.00",,,,,,,,,,,,,,"$62,563.00"
50,Matt Antonelli,,,,,,,,,,,,,,,,,,,,,,$0.00
51,Ross Detwiler,"$2,745,000.00","$390,000.00","$400,000.00","$400,000.00","$414,000.00","$485,000.00","$2,337,500.00","$3,000,000.00","$221,857.00","$1,000,000.00",,"$2,930.00","$280,496.00","$370,370.00","$789,473.00","$415,368.00",,,,,,"$13,251,994.00"
52,Carlos Gomez,"$380,000.00","$395,000.00","$437,500.00","$1,150,000.00","$1,500,000.00","$1,987,500.00","$4,300,000.00","$7,050,000.00","$8,000,000.00","$9,110,920.00","$11,500,000.00","$4,400,000.00","$555,000.00",,,,,,,,,"$50,765,920.00"
53,J.R. Towles,,,,,"$424,000.00",,,,,,,,,,,,,,,,,"$424,000.00"
