Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Career
82,Ubaldo Jimenez,,,,"$327,000","$381,000","$392,000","$850,000","$1,475,000","2,800,000","$4,200,000","$5,750,000","$11,250,000","$12,650,000","$13,000,000","$13,500,000",,,,,,"$66,575,000"
83,Brandon Wood,,,,,,,,,,,,,,,,,,,,,$0
84,Brad Snyder,,,,,,,,,,,,,,,,,,,,,$0
85,Mark Teahen,,,"$316,000","$344,500","$416,000","$2,337,500","$3,575,000","$3,750,000","$4,750,000","$5,500,000",,,,,,,,,,,"$20,989,000"
86,Kyle Sleeth,,,,,,,,,,,,,,,,,,,,,$0
87,Joey Gathright,,,,,,,,,"$38,459",,,,,,,,,,,,"$38,459"
88,Angel Guzman,,,,,,,,,,,,,,,,,,,,,$0
89,Russell Martin,,,,,"$387,500","$500,000","$3,900,000","$5,050,000","$4,075,000","$7,500,000","$8,500,000","$8,500,000","$7,000,000","$15,000,000","$20,000,000","$20,000,000","$20,000,000",,,,"$120,412,500"
90,Jeremy Sowers,,,,,,,,,,,,,,,,,,,,,$0
91,Jonathan Papelbon,,,,"$335,400","$450,500","800,000","$6,300,000","$9,350,000","$12,000,000","$11,000,058","$13,000,000","$13,000,000","$13,000,000","$8,000,000","$3,000,000",,,,,,"$90,235,958"
92,Jake Stevens,,,,,,,,,,,,,,,,,,,,,$0
93,Richie Gardner,,,,,,,,,,,,,,,,,,,,,$0
94,Hayden Penn,,,,,,,,,,,,,,,,,,,,,$0
95,Josh Fields,,,,,,,,,,,,,,,,,,,,,$0
96,Tadahito Iguchi,,,,,,,,,,,,,,,,,,,,,$0
97,Huston Street,,,"$316,000","$339,625","$380,000","$330,000","$450,000","$7,200,000","$7,300,000","$8,025,000","7,500,000","$6,999,999","$7,000,000","$8,000,000","$9,000,000","$1,000,000",,,,,"$63,840,624"
98,Ian Kinsler,,,,"$327,000","$390,708","$750,000","$750,000","$4,250,000","$6,200,000","$7,250,000","$13,000,000","$16,100,000","$16,000,000","$14,000,000","$11,000,000","$11,000,000","$3,750,000","$4,250,000",,,"$109,017,708"
99,Anthony Lerew,,,,,,,,,,,,,,,,,,,,,$0
100,Greg Miller,,,,,,,,,,,,,,,,,,,,,$0
