Rank,Name,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Total
22,Aroldis Chapman,,,,"$17,250,000.00","$1,000,000.00","$2,025,000.00","$2,025,000.00","$7,860,772.00","$8,050,000.00","$16,461,455.00","$21,000,000.00","$20,000,000.00","$15,000,000.00","$5,555,555.00","$14,838,709.00","$18,000,000.00","$6,250,000.00","$10,500,000.00","$10,750,000.00","$13,000,000.00",,,,,,,,,,,,,,,"$189,566,491"
23,Tyler Matzek,,,,,,,,"$300,546.00","$89,092.00",,,,,"$208,703.00","$600,500.00","$1,400,000.00","$1,200,000.00","$1,900,000.00","$102,151.00",,,,,,,,,,,,,,,,"$5,800,992"
24,Casey Kelly,,,,,,,"$491,400.00","$501,400.00","$55,464.00","$507,500.00",,"$123,060.00",,,,,,"$19,890.00","$28,602.00",,,,,,,,,,,,,,,,"$1,727,316"
25,Kyle Drabek,,,,,"$416,000.00","$485,900.00","$499,500.00","$500,000.00","$8,319.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,909,719"
26,Jacob Turner,,,,"$1,175,000.00","$1,175,000.00","$1,175,000.00","$1,175,000.00","$1,000,000.00","$1,000,000.00","$1,500,000.00","$535,000.00","$11,720.00",,,,,,,,,,,,,,,,,,,,,,,"$8,746,720"
27,Brett Wallace,,,,,"$418,000.00","$480,000.00","$495,000.00",,"$299,508.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$2,692,508"
28,Chris Carter,,,,,"$414,000.00","$480,000.00","$494,000.00","$510,000.00","$4,175,000.00","$2,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$12,073,000"
29,Michael Taylor,,,,,,,,"$101,092.00","$478,122.00","$412,272.00","$551,869.00","$2,525,000.00","$1,860,215.00","$1,231,481.00","$2,000,000.00","$4,650,000.00","$4,600,000.00","$4,000,000.00","$2,250,000.00",,,,,,,,,,,,,,,,"$24,660,051"
30,Michael Saunders,,,"$400,000.00","$400,000.00","$420,000.00","$489,100.00","$512,600.00","$2,300,000.00","$2,875,000.00","$2,900,000.00","$8,093,536.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$19,390,236"
31,Lonnie Chisenhall,,,,,"$414,000.00","$480,000.00","$395,936.00","$510,800.00","$2,250,000.00","$2,725,000.00","$4,300,000.00","$5,587,500.00","$2,750,000.00",,,,,,,,,,,,,,,,,,,,,,"$19,413,236"
32,Freddie Freeman,,,,"$72,131.00","$414,500.00","$535,000.00","$560,000.00","$8,050,000.00","$8,500,000.00","$12,000,000.00","$20,500,000.00","$21,250,000.00","$21,050,000.00","$8,348,148.00","$22,050,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$240,329,779"
33,Christian Friedrich,,,,,,"$480,000.00","$490,000.00","$122,950.00","$512,500.00","$507,500.00","$1,790,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$3,902,950"
34,Wade Davis,,,"$400,000.00","$404,900.00","$1,000,000.00","$1,500,000.00","$2,800,000.00","$4,800,000.00","$7,025,000.00","$8,025,000.00","$10,000,000.00","$16,000,000.00","$18,000,000.00","$6,296,296.00","$2,250,000.00",,,,,,,,,,,,,,,,,,,,"$78,501,196"
35,Matt Moore,,,,,"$414,000.00","$1,500,000.00","$1,000,000.00","$1,000,000.00","$3,000,000.00","$5,000,000.00","$7,000,000.00","$9,000,000.00","$3,250,000.00",,"$3,000,000.00","$2,311,852.00","$7,550,000.00","$9,000,000.00",,,,,,,,,,,,,,,,,"$53,025,852"
36,Jarrod Parker,,,,,"$414,000.00","$480,000.00","$495,000.00","$500,000.00","$850,000.00","$850,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$3,589,000"
37,Josh Bell,,,,,,,,,,"$146,969.00","$549,000.00","$572,500.00","$587,000.00","$1,777,778.00","$6,350,000.00","$10,000,000.00","$16,500,000.00","$16,500,000.00","$6,000,000.00","$5,750,000.00","$1,250,000.00",,,,,,,,,,,,,,"$65,983,247"
38,Derek Norris,,,,,,"$480,000.00","$492,500.00","$505,000.00","$545,000.00","$2,925,000.00","$1,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$6,847,500"
39,Mike Montgomery,,,,,,,,,"$246,816.00","$515,000.00","$570,500.00","$611,250.00","$2,440,000.00","$1,148,148.00",,,,,,,,,,,,,,,,,,,,,"$5,531,714"
40,Aaron Crow,,,,"$900,000.00","$1,400,000.00","$1,600,000.00","$1,280,000.00","$1,475,000.00","$1,975,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$8,630,000"
41,Jason Castro,,,,"$227,322.00","$421,500.00","$486,000.00","$496,600.00","$2,450,000.00","$4,000,000.00","$5,000,000.00","$8,500,000.00","$8,000,000.00","$8,000,000.00","$3,333,333.00","$4,500,000.00","$3,750,000.00",,,,,,,,,,,,,,,,,,,"$49,164,755"
42,Tanner Scheppers,,,,,,"$480,000.00","$493,600.00","$515,179.00","$405,403.00","$900,000.00","$975,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$3,769,182"
43,Todd Frazier,,,,,"$414,000.00","$480,000.00","$527,500.00","$600,000.00","$4,500,000.00","$7,500,000.00","$12,000,000.00","$8,000,000.00","$9,000,000.00","$2,796,296.00","$145,170.00",,,,,,,,,,,,,,,,,,,,"$45,962,966"
44,Nick Hagadone,,,,,"$414,000.00","$480,000.00","$258,150.00","$267,759.00","$517,100.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,937,009"
45,Yonder Alonso,,"$450,000.00","$800,000.00","$900,000.00","$1,000,000.00","$1,400,000.00","$1,120,000.00","$980,000.00","$1,650,000.00","$2,650,000.00","$4,000,000.00","$7,000,000.00","$8,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,"$30,500,000"
